target_token,recall,precision,f1,rel_freq
triangulum,1.0,1.0,1.0,1.0
virgo,1.0,1.0,1.0,1.0
magellan,1.0,1.0,1.0,1.0
carina,1.0,1.0,1.0,1.0
draco,1.0,1.0,1.0,1.0
canis,1.0,1.0,1.0,1.0
sagittarius,1.0,1.0,1.0,1.0
sculptor,1.0,1.0,1.0,1.0
sextans,1.0,1.0,1.0,1.0
fornax,1.0,1.0,1.0,1.0
xka,1.0,1.0,1.0,
mapa,1.0,1.0,1.0,
alasca,1.0,1.0,1.0,
juneau,1.0,1.0,1.0,1.0
yukon,1.0,1.0,1.0,1.0
chukchi,1.0,1.0,1.0,1.0
beaufort,1.0,1.0,1.0,1.0
anwr,1.0,1.0,1.0,
political,1.0,1.0,1.0,1.0
football,1.0,1.0,1.0,1.0
jimmy,1.0,1.0,1.0,1.0
carter,1.0,1.0,1.0,1.0
anchorage,1.0,1.0,1.0,1.0
sitka,1.0,1.0,1.0,1.0
inupiaq,1.0,1.0,1.0,
inuit,1.0,1.0,1.0,1.0
yupik,1.0,1.0,1.0,1.0
aleut,1.0,1.0,1.0,1.0
vitus,1.0,1.0,1.0,1.0
rái,0.0,-1.0,-1.0,0.0237000353731871
dominion,1.0,1.0,1.0,0.967741935483871
mcnaughton,1.0,1.0,1.0,
seward,1.0,1.0,1.0,1.0
xíu,1.0,1.0,1.0,0.5934065934065934
wirtschaftswunder,1.0,1.0,1.0,
比吉,1.0,1.0,1.0,
原筮,1.0,1.0,1.0,
元永貞,1.0,1.0,1.0,
无咎,1.0,1.0,1.0,
不寧方來,1.0,1.0,1.0,
後夫凶,1.0,1.0,1.0,
gạn,0.0,-1.0,-1.0,0.0013719592633634
xàm,0.0,-1.0,-1.0,0.0019699581383895
nịnh,0.0,-1.0,-1.0,0.0141721396474248
súcđồ,0.0,-1.0,-1.0,
sucdo,-1.0,0.0,-1.0,
小畜,1.0,1.0,1.0,
密雲不雨,1.0,1.0,1.0,
自我西郊,1.0,1.0,1.0,
luyên,0.0,-1.0,-1.0,0.0018277822908204
nhen,0.5,1.0,0.6666666666666666,0.0766666666666666
lýđồ,0.0,-1.0,-1.0,
lydo,-1.0,0.0,-1.0,
điệt,0.0,-1.0,-1.0,0.0025608194622279
履虎尾,1.0,1.0,1.0,
不咥人,1.0,1.0,1.0,
miễu,0.0,-1.0,-1.0,0.0091716824304958
bả,0.0,-1.0,-1.0,0.0016246073865482
tháiđồ,0.0,-1.0,-1.0,
thaido,-1.0,0.0,-1.0,
泰,1.0,1.0,1.0,
小往大來,1.0,1.0,1.0,
bĩđồ,0.0,-1.0,-1.0,
bido,-1.0,0.0,-1.0,
xui,1.0,1.0,1.0,0.3699421965317919
xẻo,1.0,0.6666666666666666,0.8,0.4424778761061947
dèm,0.0,-1.0,-1.0,0.0031069684864624
bai,0.0,-1.0,-1.0,0.0048941542046999
tiếm,0.0,-1.0,-1.0,0.0197594501718213
thong,0.0,-1.0,-1.0,0.0059780918483707
dầy,0.0,-1.0,-1.0,0.0032976253195184
nhún,1.0,1.0,1.0,0.7045454545454546
thuyên,0.0,-1.0,-1.0,0.0482469283787833
chuốc,0.0,-1.0,-1.0,0.050632911392405
phết,1.0,1.0,1.0,0.4538461538461538
bèo,0.125,1.0,0.2222222222222222,0.2311015118790496
đẽo,0.0,-1.0,-1.0,0.06318347509113
lột,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1921641791044776
rớt,0.3333333333333333,1.0,0.5,0.2835443037974683
lẽo,0.0,-1.0,-1.0,0.0424354243542435
lề,0.0,-1.0,-1.0,0.0027994017716761
習坎,1.0,1.0,1.0,
有孚維心亨,1.0,1.0,1.0,
行有尚,1.0,1.0,1.0,
坎,1.0,1.0,1.0,
hõm,0.0,-1.0,-1.0,0.0098960910440376
chăng,0.0,-1.0,-1.0,0.0386519725283501
vãi,0.0,-1.0,-1.0,0.0025607465998975
象曰,1.0,1.0,1.0,
水洊至,1.0,1.0,1.0,
君子以常德行,1.0,1.0,1.0,
習教事,1.0,1.0,1.0,
洊,1.0,1.0,1.0,
常,1.0,1.0,1.0,
仁,1.0,1.0,1.0,1.0
義,1.0,1.0,1.0,1.0
禮,1.0,1.0,1.0,1.0
智,1.0,1.0,1.0,1.0
信,1.0,1.0,1.0,1.0
五常,1.0,1.0,1.0,
行,1.0,1.0,1.0,1.0
德,1.0,1.0,1.0,1.0
德行,1.0,1.0,1.0,
kiển,0.0,-1.0,-1.0,0.0012301804264625
cọp,1.0,1.0,1.0,0.743455497382199
lủng,0.0,-1.0,-1.0,0.0034465780403741
船漏沖瘫,1.0,1.0,1.0,
外虛中實,1.0,1.0,1.0,
入于坎窞,1.0,1.0,1.0,
凶,1.0,1.0,1.0,1.0
坎有險,1.0,1.0,1.0,
求小得,1.0,1.0,1.0,
chẩm,0.0,-1.0,-1.0,0.0022779043280182
來之坎坎,1.0,1.0,1.0,
險且枕,1.0,1.0,1.0,
勿用,1.0,1.0,1.0,
nàm,0.0,-1.0,-1.0,1.0924464610196896e-05
窞,1.0,1.0,1.0,
chén,1.0,0.7142857142857143,0.8333333333333333,0.5035561877667141
rá,0.0,-1.0,-1.0,0.0006716762520465
dũ,0.0,-1.0,-1.0,0.0011243796526054
樽酒簋,1.0,1.0,1.0,
貳用缶,1.0,1.0,1.0,
納約自牖,1.0,1.0,1.0,
終無咎,1.0,1.0,1.0,
坎不盈,1.0,1.0,1.0,
祗既平,1.0,1.0,1.0,
祗,1.0,1.0,1.0,
坻,1.0,1.0,1.0,
小丘,1.0,1.0,1.0,
trói,0.25,1.0,0.4,0.024961435983733
cức,0.0,-1.0,-1.0,0.001892995915114
係用徽纆,1.0,1.0,1.0,
寘于叢棘,1.0,1.0,1.0,
三歲不得,1.0,1.0,1.0,
độn,0.0,-1.0,-1.0,0.0065459835138192
trá,0.0,-1.0,-1.0,0.0087194094053362
dối,0.0,-1.0,-1.0,0.0034845712641078
tấnđồ,0.0,-1.0,-1.0,
tando,-1.0,0.0,-1.0,
晉,1.0,1.0,1.0,1.0
康侯用錫馬蕃庶,1.0,1.0,1.0,
晝日三接,1.0,1.0,1.0,
tồi,0.25,1.0,0.4,0.0083109728587372
tuất,1.0,1.0,1.0,1.0
trổ,0.0,-1.0,-1.0,0.0045437939537857
nẩy,0.0,-1.0,-1.0,0.0003412503412503
ắt,0.0,-1.0,-1.0,0.0452488687782805
ngoi,0.0,-1.0,-1.0,0.001991737975804
gá,0.0,-1.0,-1.0,0.0027239709443099
中孚,1.0,1.0,1.0,
豚魚吉,1.0,1.0,1.0,
利貞,1.0,1.0,1.0,
hèn,0.5,1.0,0.6666666666666666,0.1717277486910994
thỉu,1.0,0.4,0.5714285714285715,0.7619047619047619
vất,0.0,-1.0,-1.0,0.0063524034550877
既濟,1.0,1.0,1.0,
亨小,1.0,1.0,1.0,
初吉,1.0,1.0,1.0,
終亂,1.0,1.0,1.0,
duê,0.0,-1.0,-1.0,0.0011933174224343
thược,0.0,-1.0,-1.0,0.0005451141184556
ngật,0.0,-1.0,-1.0,0.024516129032258
未濟,1.0,1.0,1.0,
小狐汔濟,1.0,1.0,1.0,
濡其尾,1.0,1.0,1.0,
无攸利,1.0,1.0,1.0,
