src_token,accuracy
ngon,0.9631205673758865
jaureguiberry,1.0
gai,0.7313432835820896
lang,0.625
college,0.8
des,1.0
interpretes,1.0
hue,0.9324324324324325
chuoc,0.9444444444444444
napoleon,0.9166666666666666
iii,1.0
tham,0.7376058041112454
yet,1.0
roma,0.5688073394495413
ernest,1.0
potteaux,1.0
croc,1.0
ohier,1.0
ecole,1.0
normale,1.0
ham,0.8666666666666667
hau,0.9264705882352942
administrateurs,1.0
stagiaires,1.0
duperre,1.0
uy,0.7672413793103449
officier,1.0
d,0.9272727272727272
academie,1.0
paul,1.0
bert,1.0
kham,0.84
von,0.954954954954955
giup,0.9965986394557823
khanh,0.9814814814814815
sung,0.7949790794979079
benh,0.9952153110047847
chet,0.9912536443148688
nhom,0.8692722371967655
dap,0.7554347826086957
lay,0.8457943925233645
phoi,0.7966804979253111
uu,1.0
ai,0.8913857677902621
hui,0.2857142857142857
lui,0.7011494252873564
rieng,1.0
e,0.8514851485148515
bangkok,1.0
miscellanees,0.0
hoan,0.8968481375358166
xua,0.9672131147540983
phung,0.9508196721311475
hung,0.858139534883721
hoat,0.994
huy,0.8851963746223565
lac,0.8893129770992366
sic,1.0
vos,1.0
non,0.8125
vobis,1.0
sanh,0.8645833333333334
quy,0.9050925925925926
buoc,0.967032967032967
he,0.9850924269528921
xong,0.9655172413793104
chun,0.4
suong,0.9770114942528736
sa,0.9880952380952381
chong,0.9450915141430949
khoi,0.8955665024630541
suc,0.9854651162790697
quai,0.8863636363636364
xo,0.9130434782608695
gui,0.9834710743801653
rot,0.8333333333333334
lu,0.8731707317073171
men,0.9659090909090909
chan,0.8111298482293423
xoi,0.8666666666666667
luoi,0.875
hoai,0.9361702127659575
thua,0.9008264462809917
miseremini,1.0
mei,1.0
satem,1.0
amici,1.0
guong,0.8846153846153846
kip,1.0
au,0.9622844827586207
nghien,0.9584
cuu,0.8778135048231511
xet,1.0
website,1.0
lich,1.0
vuon,0.9256198347107438
giong,0.9090909090909091
chom,0.8666666666666667
troc,0.6
cut,0.5
pinang,1.0
jean,1.0
baptiste,1.0
km,1.0
ninh,0.9894736842105263
quang,0.8237822349570201
yen,0.9543859649122807
hoach,0.9942857142857143
truc,0.9500609013398295
nui,1.0
mua,0.8505231689088192
ro,0.8986928104575164
ret,0.9038461538461539
xuan,0.9897435897435898
nom,0.8125
keo,0.8872549019607843
dac,0.9372549019607843
rau,0.9333333333333333
tue,0.8387096774193549
sy,0.8666666666666667
trach,0.9281767955801105
xu,0.9590163934426229
mao,0.7192982456140351
kiep,1.0
tuan,0.9371069182389937
bach,0.6035242290748899
hao,0.8944444444444445
niem,0.9723076923076923
trao,0.9672131147540983
nghia,0.9982094897045658
amin,1.0
amine,1.0
nito,1.0
amoniac,0.5294117647058824
ammonia,1.0
hydro,0.8709677419354839
alkyl,1.0
r,1.0
primary,1.0
secondary,1.0
tertiary,1.0
diamin,1.0
triamin,1.0
tetraamin,1.0
thom,1.0
anilin,1.0
thap,0.90125
metylamin,0.0
monoetylamin,1.0
cuc,0.9566003616636528
ancol,1.0
n,1.0
hap,0.978328173374613
tin,0.9335083114610674
proton,0.7802197802197802
ppm,1.0
bazo,1.0
electron,0.92018779342723
k,1.0
